,speaker,num_lines
0,Michael,12145
1,Dwight,7532
2,Jim,6814
3,Pam,5375
4,Andy,3969
5,Kevin,1709
6,Angela,1695
7,Oscar,1491
8,Erin,1469
9,Ryan,1379
10,Darryl,1281
11,Phyllis,1071
12,Kelly,956
13,Jan,949
14,Toby,936
15,Stanley,761
16,Meredith,645
17,Holly,609
18,Nellie,529
19,Creed,456
20,Gabe,436
21,Robert,430
22,David,382
23,Karen,341
24,Clark,260
25,Roy,255
26,Charles,221
27,Pete,213
28,Jo,194
29,Deangelo,173
30,David Wallace,108
31,Katy,98
32,Carol,90
33,Donna,81
34,DeAngelo,79
35,Todd Packer,74
36,Val,73
37,Danny,68
38,Josh,64
39,All,62
