season,episode,scene,line_text,speaker,deleted
5,11,23,This is nuts.,Oscar,False
7,16,48,"[he office shushes Michael to hear the movie better] That's fine, it's great!",Jim,False
1,2,26,"[on the phone] Mr. Decker, we didn't lose your sale today, did we? Excellent. OK. Let me just get your... what's that? No, we didn't close last time. I just need your... Oh. W-What code were you given? Oh, OK. That's actually another salesman here. I can redo it if you want to do that. Oh, he gave you a discount? No, I don't blame you.",Jim,False
6,2,31,"Wow, that sounds pretty cool.",Jim,False
3,4,21,"Oh my God!  Oh my God, come on ...",Michael,False
9,8,9,"Oh, great.",Jim,False
9,4,1,"""[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry""",Andy,False
3,12,1,Ok.,Jim,False
8,17,17,"It's interesting that you're drawn to the point of view of the attacker. Ã¯Â¿Â½Ã¯Â¿Â½You would like the turn of the table. Okay, the latest Chad Flenderman novel... [everyone groans] written from the point of view of his nemesis, Dr. Lucifer Wu.",Toby,False
9,13,16,What makes you think you'd be an effective paper salesman?,Dwight,False
4,14,63,I think you kids have a lot to catch up on.,Kevin,False
3,10,20,"Hey, Karen. Sorry about that meeting today, that was really crazy.",Pam,False
6,3,16,Con-- no one gets as much as they did last year.,Jim,False
7,17,13,"So, Todd, this must be nice for you getting off the road. You get to spend some time with your daughter.",Holly,False
1,1,41,"Pam! Pam-Pam! Pam has been with us for...  forever. Right, Pam?",Michael,True
4,4,45,"Hey, get off.",Darryl,False
3,10,50,"Oh, party in the break room! Let's go, let's go! Thank God! Let's go to the break room.",Michael,False
6,14,27,"I have already told him, but I will tell him again if you think that will help.",Michael,False
2,3,40,Ah...,Oscar,False
8,20,17,Hey.,Andy,False
9,2,47,"If you like James Franco, we really should watch Rise of the Planet of the Apes.",Dwight,False
9,2,31,Ready?,Jim,False
7,1,4,"I started dating Erin this summer. It has been, in a word, exquisite.",Gabe,False
8,10,27,Um.,Andy,False
6,12,44,I'm really sorry. It was earlier today.,Phyllis,False
3,11,14,Hey.,Pam,False
9,20,25,Was Dwight rooting for me? Hmm. I hadn't noticed.,Angela,False
7,4,12,"Some eggs can rely dormant in a woman for years, they may not even know they have it.",Dwight,False
8,5,21,"Everyone, this Bert, my son. Bert, this is... a paper company.",Robert,False
8,7,30,Stop shoving me.,Jim,False
2,1,26,...when she made me fill out six hours of paperwork-,Michael,False
9,8,16,"I'm trying, but what you're asking is--",Dwight,False
8,7,23,Who said that?,Creed,False
2,13,29,"Uhhh it's ridiculous. They took my card away because I spent $80 bucks at a magic shop. What they don't understand is that I bought the stuff to impress potential clients. So business related, right?",Michael,False
2,22,26,"Oh, great.",Carol,False
5,19,25,"Pam, listen.  This order form.  Instead of saying 'Dunder Mifflin' at the top is there any way I could get it to say something else?",Michael,False
9,23,37,Right there.,Darryl,False
7,3,14,"Yeah, I know. Neiche!",Andy,False
9,9,16,What is it? [Jim lifts the hog maw with a fork] Don't touch it.,Pam,False
3,3,58,I know that we need to cut costs.  We could fire Meredith. That's a big cost.,Dwight,False
3,16,6,We have fun.,Michael,False
6,14,18,Little cups? Like paper or plastic or... ?,Gabe,False
8,4,7,You don't need a reason to throw a garden party anymore than you need a reason to throw a birthday party. It's a garden party. You don't need a reason.,Andy,False
4,1,45,"Well I don't know, on the other hand it does leave less money for bat birth control.",Dwight,False
